name,sex,cyst,cyst_age,death
Mojo,M,0,NA,0
Mola,M,0,NA,0
Monica,F,0,NA,0
Moo,F,0,NA,0
Mouse,F,0,NA,0
MrTambourine Man,M,0,NA,0
Mulu,M,0,NA,0
Mummy,M,0,NA,0
Munchkin,F,0,NA,0
Muppet,F,1,9.853524983,1
Nadia,F,0,NA,0
Nafta,M,0,NA,0
Nancy,F,1,12.52304358,1
Nardos,F,0,NA,0
Naughty,F,0,NA,0
Nech,M,0,NA,0
Nikon,M,0,NA,0
Nima,F,0,NA,1
Noggin,F,0,NA,0
Noha,M,0,NA,0
Nokia,F,0,NA,1
Nubbin,M,0,NA,0
Nyala,M,0,NA,0
Nymphadora,F,0,NA,0
Oasis,M,0,NA,0
Oberon,M,0,NA,0
Ochre,F,0,NA,0
Okidoki,F,1,19.38113164,0
Olay,M,0,NA,0
Omar,M,0,NA,0
Omily,F,0,NA,0
Opal,F,0,NA,0
Optimus Prime,M,0,NA,0
Oregon,M,0,NA,0
Orion,M,0,NA,1
Oscar,M,0,NA,0
Oshkosh,F,0,NA,0
OTangle,M,0,NA,0
Oupa,M,0,NA,0
Partial,F,0,NA,1
Pea,F,0,NA,0
Penelope,F,0,NA,0
Peri,F,0,NA,0
Phoenix,M,0,NA,0
Pia,F,0,NA,0
Pip,M,0,NA,0
Pita,F,0,NA,0
Proxy,F,0,NA,0
Putty,F,1,7.764658909,0
Qaria,M,0,NA,0
Qhorin,M,0,NA,0
Qtip,F,1,9.784964636,0
Quasi,M,1,9.023956194,0
Quinn,M,0,NA,0
Rasta,F,0,NA,0
RazAlGhul,M,0,NA,0
Red,F,0,NA,0
Rhino,M,1,8.139516313,0
Rhonda,F,0,NA,1
Ricki,F,0,NA,0
Rikola,F,0,NA,0
Rita,F,0,NA,0
Robin,M,0,NA,0
Romulus,M,0,NA,0
Roo,F,0,NA,0
Roxanne,F,0,NA,0
Royal,M,0,NA,0
Roz,F,0,NA,0
Ruby,F,0,NA,0
Rufio,M,0,NA,0
Rwanda,M,0,NA,0
Saat,M,1,11.07734428,0
Sassy,F,0,NA,0
Sawyer,M,0,NA,1
Sean,M,0,NA,0
Sega,M,0,NA,0
Setey,M,0,NA,0
Seymore,M,0,NA,0
Shimelis,M,0,NA,0
Shmikos,M,0,NA,0
Sienna,F,0,NA,0
Skyler,M,0,NA,0
Sol,M,0,NA,0
Sony,M,0,NA,0
Sookie,F,0,NA,0
Spam,M,0,NA,0
Spot,M,0,NA,0
